file,center_x_um,center_x_um_err,center_y_um,center_y_um_err,angle_deg,angle_deg_err,main_profile_length_um,main_profile_width_um,ortho_profile_length_um,ortho_profile_width_um,main_fwhm_um,main_fwhm_um_err,main_fwhm_gauss_um,main_fwhm_gauss_um_err,ortho_fwhm_um,ortho_fwhm_um_err,ortho_fwhm_gauss_um,ortho_fwhm_gauss_um_err,main_criteria,ortho_criteria,shot_number,center_x_um_centered,center_y_um_centered,center_x_um_err_total,center_y_um_err_total,ortho_fwhm_um_err_total,ortho_fwhm_gauss_um_err_total,main_fwhm_um_err_total,main_fwhm_gauss_um_err_total,fwhm_diff
spool 0.001_36_Spooled files.tif,358.999,0.201,273.787,0.042,1.216,0.07,113.75,1.625,12.025,3.25,30.2,0.233,31.729,0.201,4.088,0.256,4.051,0.049,Длина профиля оптимальна.; Ошибка FWHM (0.8%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.3%) в норме.,36,0.2469090909089573,0.13715454545450712,0.29236677335136646,0.2164285798130397,0.3325858237506363,0.21789522748304813,0.31522425376212615,0.29236677335136646,0.09964545454545748
spool 0.001_37_Spooled files.tif,358.3,0.201,273.425,0.041,1.429,0.071,113.75,1.625,12.025,3.25,30.893,0.186,32.559,0.2,3.832,0.236,3.984,0.073,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.2%) в норме.,37,-0.452090909091055,-0.22484545454545923,0.29236677335136646,0.21623674562823336,0.3174481534989443,0.22451354115039318,0.2822646456074322,0.2916801847227358,0.03264545454545731
spool 0.001_38_Spooled files.tif,357.812,0.2,274.049,0.041,1.524,0.071,113.75,1.625,12.025,3.25,32.156,0.714,33.005,0.204,3.936,0.23,4.058,0.074,Длина профиля оптимальна.; Ошибка FWHM (2.2%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.9%) в норме.,38,-0.9400909090910545,0.39915454545450757,0.2916801847227358,0.21623674562823336,0.31301330668182353,0.22484067728035623,0.7448982012059696,0.29443731108656945,0.10664545454545715
spool 0.001_39_Spooled files.tif,359.12,0.202,273.972,0.041,1.271,0.07,113.75,1.625,12.025,3.25,29.978,0.246,32.307,0.201,3.801,0.239,3.884,0.074,Длина профиля оптимальна.; Ошибка FWHM (0.8%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.3%) в норме.,39,0.3679090909089382,0.3221545454545094,0.2930551657280405,0.21623674562823336,0.31968473557536226,0.22484067728035623,0.32495127351633707,0.29236677335136646,0.06735454545454278
spool 0.001_40_Spooled files.tif,359.291,0.199,273.022,0.042,1.645,0.073,113.75,1.625,12.025,3.25,31.577,0.228,32.195,0.216,3.821,0.26,3.936,0.079,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.8%) в норме.,40,0.5389090909089305,-0.6278454545454792,0.2909954126096996,0.2164285798130397,0.3356744407307314,0.22653549426058886,0.3115466741274721,0.3028751065371489,0.015354545454542734
spool 0.001_41_Spooled files.tif,358.542,0.198,274.866,0.042,0.907,0.072,113.75,1.625,12.025,3.25,31.824,0.294,32.137,0.201,3.715,0.239,3.872,0.069,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.4%) в норме.,41,-0.21009090909109318,1.2161545454545148,0.2903124698663309,0.2164285798130397,0.31968473557536226,0.22324500030211045,0.36264766669577414,0.29236677335136646,0.07935454545454279
spool 0.001_42_Spooled files.tif,358.691,0.195,272.267,0.042,1.209,0.073,113.75,1.625,12.025,3.25,31.455,0.197,32.493,0.203,3.9,0.226,3.962,0.065,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.8%) в норме.,42,-0.06109090909109227,-1.3828454545454747,0.2882747476972086,0.2164285798130397,0.3100860044566496,0.2220412803059136,0.28963136943343915,0.2937453491715048,0.010645454545457511
spool 0.001_43_Spooled files.tif,359.032,0.204,273.335,0.041,1.406,0.068,113.75,1.625,12.025,3.25,32.06,0.194,32.848,0.184,3.914,0.234,4.088,0.077,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.0%) в норме.,43,0.2799090909089159,-0.31484545454549107,0.29443731108656945,0.21623674562823336,0.3159641279637442,0.22584581058742112,0.28759925271093684,0.28095076109505257,0.1366454545454574
spool 0.001_44_Spooled files.tif,358.918,0.202,273.793,0.041,1.542,0.07,113.75,1.625,12.025,3.25,33.8,0.225,32.825,0.217,3.766,0.252,3.871,0.054,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.7%) в норме.,44,0.16590909090894002,0.14315454545453576,0.2930551657280405,0.21623674562823336,0.32951681316723325,0.2190738007153966,0.3093579321108306,0.3035890810946423,0.08035454545454268
spool 0.001_45_Spooled files.tif,358.996,0.201,275.077,0.041,1.12,0.069,113.75,1.625,12.025,3.25,33.086,0.172,32.585,0.218,3.772,0.248,3.846,0.069,Длина профиля оптимальна.; Ошибка FWHM (0.5%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.6%) в норме.,45,0.24390909090891455,1.4271545454545276,0.29236677335136646,0.21623674562823336,0.3264679619195263,0.22324500030211045,0.2732422554435702,0.30430466667451767,0.10535454545454259
spool 0.001_46_Spooled files.tif,358.642,0.197,273.986,0.042,0.975,0.073,113.75,1.625,12.025,3.25,31.284,0.209,32.888,0.189,3.594,0.257,3.615,0.08,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.2%) в норме.,46,-0.11009090909107044,0.3361545454545194,0.28963136943343915,0.2164285798130397,0.3333561611248385,0.2268861612348565,0.2979233628970533,0.2842504708173573,0.33635454545454246
spool 0.001_47_Spooled files.tif,357.555,0.198,273.588,0.041,1.004,0.072,113.75,1.625,12.025,3.25,33.071,0.214,32.499,0.172,4.059,0.224,4.054,0.056,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.5%) в норме.,47,-1.1970909090910595,-0.06184545454544832,0.2903124698663309,0.21623674562823336,0.30863138233155957,0.21957534050956018,0.301452036251025,0.2732422554435702,0.10264545454545759
spool 0.001_48_Spooled files.tif,358.25,0.204,273.453,0.041,1.876,0.069,113.75,1.625,12.025,3.25,32.573,0.216,33.206,0.208,3.65,0.22,3.766,0.067,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.0%) в норме.,48,-0.5020909090910664,-0.19684545454549607,0.29443731108656945,0.21623674562823336,0.3057406256287988,0.22263497065800175,0.3028751065371489,0.2972226945572785,0.18535454545454266
spool 0.001_49_Spooled files.tif,359.73,0.203,272.879,0.042,2.065,0.07,113.75,1.625,12.025,3.25,31.974,0.211,33.072,0.214,3.986,0.261,4.116,0.079,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.5%) в норме.,49,0.9779090909089518,-0.7708454545454515,0.2937453491715048,0.2164285798130397,0.33644959527377843,0.22653549426058886,0.2993298016567834,0.301452036251025,0.16464545454545698
spool 0.001_50_Spooled files.tif,358.845,0.203,274.362,0.04,1.037,0.068,113.75,1.625,12.025,3.25,31.22,0.194,31.162,0.163,3.767,0.207,3.855,0.081,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.5%) в норме.,50,0.09290909090896093,0.7121545454545526,0.2937453491715048,0.2160493697280538,0.2965237429952099,0.22724068772974898,0.28759925271093684,0.2676683211735922,0.0963545454545427
spool 0.001_51_Spooled files.tif,359.627,0.202,273.685,0.041,1.292,0.071,113.75,1.625,12.025,3.25,31.489,0.211,33.216,0.206,3.992,0.239,4.014,0.063,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.0%) в норме.,51,0.8749090909089432,0.03515454545453167,0.2930551657280405,0.21623674562823336,0.31968473557536226,0.22146406065068278,0.2993298016567834,0.2958265203795787,0.06264545454545756
spool 0.001_52_Spooled files.tif,358.606,0.198,274.363,0.042,1.13,0.072,113.75,1.625,12.025,3.25,30.273,0.207,32.254,0.206,3.833,0.245,3.799,0.051,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.4%) в норме.,52,-0.1460909090910718,0.7131545454545289,0.2903124698663309,0.2164285798130397,0.3241948953328681,0.21835368135181346,0.2965237429952099,0.2958265203795787,0.15235454545454274
spool 0.001_53_Spooled files.tif,359.215,0.205,273.982,0.04,0.939,0.067,113.75,1.625,12.025,3.25,33.146,0.168,33.647,0.203,3.991,0.234,3.942,0.067,Длина профиля оптимальна.; Ошибка FWHM (0.5%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.9%) в норме.,53,0.46290909090890864,0.33215454545455714,0.2951310389638631,0.2160493697280538,0.3159641279637442,0.22263497065800175,0.2707421839312989,0.2937453491715048,0.009354545454542507
spool 0.001_54_Spooled files.tif,359.399,0.199,272.879,0.042,0.803,0.07,113.75,1.625,12.025,3.25,31.615,0.272,32.638,0.196,4.11,0.309,4.123,0.063,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.5%) в норме.,54,0.6469090909089346,-0.7708454545454515,0.2909954126096996,0.2164285798130397,0.37491109634137165,0.22146406065068278,0.34505264838845867,0.28895212433877226,0.17164545454545754
spool 0.001_55_Spooled files.tif,359.62,0.197,272.535,0.042,1.288,0.072,113.75,1.625,12.025,3.25,29.585,0.487,32.951,0.233,4.065,0.243,4.065,0.056,Длина профиля оптимальна.; Ошибка FWHM (1.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.0%) в норме.,55,0.8679090909089382,-1.1148454545454456,0.28963136943343915,0.2164285798130397,0.32268611708576694,0.21957534050956018,0.5312686045305983,0.31522425376212615,0.11364545454545771
spool 0.001_56_Spooled files.tif,358.16,0.205,273.908,0.041,1.053,0.068,113.75,1.625,12.025,3.25,30.909,0.185,32.814,0.179,3.958,0.252,3.807,0.072,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.4%) в норме.,56,-0.5920909090910413,0.25815454545454486,0.2951310389638631,0.21623674562823336,0.32951681316723325,0.22419038819692805,0.28160669409637495,0.27770187280587305,0.14435454545454274
spool 0.001_57_Spooled files.tif,358.303,0.207,274.924,0.04,1.409,0.066,113.75,1.625,12.025,3.25,31.387,0.269,31.933,0.209,3.442,0.22,3.675,0.092,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.4%) в норме.,57,-0.4490909090910691,1.2741545454545076,0.2965237429952099,0.2160493697280538,0.3057406256287988,0.23138999580770403,0.3426927635067442,0.2979233628970533,0.27635454545454285
spool 0.001_58_Spooled files.tif,357.761,0.198,272.813,0.042,1.522,0.073,113.75,1.625,12.025,3.25,31.933,0.247,33.1,0.198,4.088,0.322,4.141,0.056,Длина профиля оптимальна.; Ошибка FWHM (0.8%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.9%) в норме.,58,-0.9910909090910422,-0.8368454545454824,0.2903124698663309,0.2164285798130397,0.3856959037375031,0.21957534050956018,0.3257089654275567,0.2903124698663309,0.18964545454545734
spool 0.001_59_Spooled files.tif,359.088,0.199,272.794,0.041,1.341,0.071,113.75,1.625,12.025,3.25,31.216,0.213,32.206,0.176,3.69,0.316,3.781,0.076,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (8.6%) в норме.,59,0.33590909090895593,-0.8558454545454879,0.2909954126096996,0.21623674562823336,0.38070110343928515,0.2255068295193946,0.3007429636082768,0.27577768249060564,0.17035454545454254
spool 0.001_60_Spooled files.tif,357.673,0.196,272.126,0.042,1.55,0.072,113.75,1.625,12.025,3.25,31.194,0.291,32.731,0.241,3.938,0.292,4.079,0.079,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.4%) в норме.,60,-1.0790909090910645,-1.5238454545454942,0.28895212433877226,0.2164285798130397,0.36102815701810476,0.22653549426058886,0.3602198358778835,0.3211827052627356,0.12764545454545706
spool 0.001_61_Spooled files.tif,358.514,0.206,274.07,0.041,1.225,0.066,113.75,1.625,12.025,3.25,31.42,0.221,32.413,0.204,3.609,0.252,3.715,0.055,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.0%) в норме.,61,-0.23809090909105635,0.4201545454545226,0.2958265203795787,0.21623674562823336,0.32951681316723325,0.21932243423756106,0.30646097656943094,0.29443731108656945,0.23635454545454282
spool 0.001_62_Spooled files.tif,358.795,0.198,273.526,0.042,1.557,0.072,113.75,1.625,12.025,3.25,33.103,0.247,32.918,0.18,3.701,0.237,3.863,0.063,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.4%) в норме.,62,0.042909090908949565,-0.12384545454546014,0.2903124698663309,0.2164285798130397,0.31819228488429646,0.22146406065068278,0.3257089654275567,0.2783474989287479,0.08835454545454269
spool 0.001_63_Spooled files.tif,358.712,0.202,273.181,0.041,1.97,0.07,113.75,1.625,12.025,3.25,30.311,0.283,32.395,0.217,3.854,0.259,3.9,0.061,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.7%) в норме.,63,-0.040090909091077265,-0.46884545454548743,0.2930551657280405,0.21623674562823336,0.3349004779929245,0.22090344080590799,0.35378853876276045,0.3035890810946423,0.051354545454542766
spool 0.001_64_Spooled files.tif,358.814,0.198,273.823,0.042,1.162,0.071,113.75,1.625,12.025,3.25,31.786,0.236,32.168,0.176,3.68,0.252,3.741,0.055,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.9%) в норме.,64,0.06190909090895502,0.17315454545450848,0.2903124698663309,0.2164285798130397,0.32951681316723325,0.21932243423756106,0.3174481534989443,0.27577768249060564,0.21035454545454257
spool 0.001_65_Spooled files.tif,359.293,0.202,273.129,0.041,1.665,0.069,113.75,1.625,12.025,3.25,31.773,0.231,32.83,0.204,3.574,0.251,3.784,0.072,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.0%) в норме.,65,0.54090909090894,-0.5208454545454515,0.2930551657280405,0.21623674562823336,0.32875268844511263,0.22419038819692805,0.31374883292195577,0.29443731108656945,0.16735454545454287
spool 0.001_66_Spooled files.tif,358.398,0.197,273.51,0.041,1.127,0.073,113.75,1.625,12.025,3.25,32.433,0.311,33.056,0.191,3.924,0.257,3.982,0.086,Длина профиля оптимальна.; Ошибка FWHM (1.0%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.5%) в норме.,66,-0.3540909090910418,-0.1398454545454797,0.28963136943343915,0.21623674562823336,0.3333561611248385,0.22907057899234745,0.3765611904589867,0.285584191018847,0.03064545454545753
spool 0.001_67_Spooled files.tif,358.995,0.202,274.351,0.041,1.198,0.069,113.75,1.625,12.025,3.25,31.533,0.195,33.103,0.215,3.893,0.241,3.907,0.068,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.2%) в норме.,67,0.2429090909089382,0.7011545454545285,0.2930551657280405,0.21623674562823336,0.3211827052627356,0.22293795136739122,0.2882747476972086,0.302162754421999,0.04435454545454265
spool 0.001_68_Spooled files.tif,358.752,0.2,273.37,0.041,1.134,0.071,113.75,1.625,12.025,3.25,32.056,0.214,32.719,0.188,3.942,0.278,4.122,0.077,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.1%) в норме.,68,-9.090909105680112e-05,-0.27984545454546605,0.2916801847227358,0.21623674562823336,0.34980184413448895,0.22584581058742112,0.301452036251025,0.28358654791772,0.1706454545454572
spool 0.001_69_Spooled files.tif,358.648,0.198,274.306,0.042,1.044,0.071,113.75,1.625,12.025,3.25,29.998,0.177,32.57,0.205,3.689,0.233,3.931,0.074,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.3%) в норме.,69,-0.1040909090910418,0.6561545454545126,0.2903124698663309,0.2164285798130397,0.31522425376212615,0.22484067728035623,0.2764169498418816,0.2951310389638631,0.020354545454542627
spool 0.001_70_Spooled files.tif,357.668,0.2,272.923,0.041,1.399,0.07,113.75,1.625,12.025,3.25,32.742,0.226,33.089,0.207,4.1,0.27,4.092,0.062,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.6%) в норме.,70,-1.08409090909106,-0.7268454545454688,0.2916801847227358,0.21623674562823336,0.343478281933355,0.22118166777535903,0.3100860044566496,0.2965237429952099,0.14064545454545696
spool 0.001_71_Spooled files.tif,358.537,0.198,273.733,0.042,1.443,0.072,113.75,1.625,12.025,3.25,31.329,0.24,33.009,0.199,3.857,0.258,3.825,0.056,Длина профиля оптимальна.; Ошибка FWHM (0.8%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.7%) в норме.,71,-0.21509090909108863,0.08315454545453349,0.2903124698663309,0.2164285798130397,0.33412771534233626,0.21957534050956018,0.32043303537539525,0.2909954126096996,0.1263545454545425
spool 0.001_72_Spooled files.tif,358.699,0.195,274.261,0.042,1.395,0.073,113.75,1.625,12.025,3.25,29.893,0.198,32.728,0.221,3.864,0.245,3.991,0.089,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.3%) в норме.,72,-0.05309090909105407,0.6111545454545535,0.2882747476972086,0.2164285798130397,0.3241948953328681,0.23021366197489082,0.2903124698663309,0.30646097656943094,0.039645454545457426
spool 0.001_73_Spooled files.tif,359.252,0.203,274.441,0.041,1.426,0.067,113.75,1.625,12.025,3.25,32.177,0.208,32.776,0.214,4.096,0.275,3.982,0.082,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.7%) в норме.,73,0.4999090909089432,0.7911545454545035,0.2937453491715048,0.21623674562823336,0.3474224088338133,0.22759905570957295,0.2972226945572785,0.301452036251025,0.03064545454545753
